P & S,OS,FP,SE,FET
30,29,30,29,59
30,29,30,27,56
28,30,29,23,54
22,22,26,21,41
28,28,28,26,49
24,13,23,21,32
30,30,30,24,49
30,30,30,26,50
23,16,15,22,35
25,23,18,21,38
21,21,20,20,28
29,30,29,24,50
28,30,29,20,54
21,21,24,18,33
19,23,25,22,40
19,19,19,18,35
29,30,29,25,48
17,19,23,16,43
23,25,22,22,27
23,28,24,21,47
30,30,30,29,59
29,30,30,26,60
5,18,13,18,15
16,13,13,13,18
30,26,29,27,51
30,30,30,27,59
28,30,30,25,54
26,30,25,26,57
27,27,29,25,55
23,20,24,20,38
21,27,22,16,35
18,25,25,22,51
25,29,30,27,55
30,27,29,27,54
17,17,22,21,29
19,24,16,16,39
25,26,25,23,39
24,24,25,23,41
16,22,19,13,42
29,27,28,27,55
23,28,29,20,51
30,28,25,24,42
19,24,15,13,30
21,21,17,20,46
27,24,30,15,41
29,27,30,24,53
15,25,21,23,48
23,24,28,22,52
14,17,9,9,19
29,30,28,25,51
25,30,30,25,49
28,30,30,23,48
28,30,27,25,50
29,30,30,27,52
24,26,30,28,46
29,26,26,23,32
25,27,27,26,42
29,24,24,25,42
21,29,20,22,42
24,28,27,22,47
28,25,25,22,49
18,23,13,17,37
21,23,24,22,31
21,18,13,20,33
30,29,24,22,48
29,25,29,21,46
19,20,16,15,29
28,28,24,22,45
17,21,22,20,41
16,21,17,24,41
19,23,21,19,39
0,0,0,0,0
29,25,21,22,50
21,23,25,21,32
21,17,13,19,27
18,22,19,9,27
20,21,17,18,31
18,16,13,12,31
15,22,18,14,16
24,27,20,18,43
15,21,19,14,25
12,10,6,5,9
25,22,29,21,39
19,25,20,21,42
25,29,28,27,48
0,0,1,0,0
25,30,30,28,58
0,2,0,0,0
24,28,24,25,35
0,4,4,0,0
21,21,18,9,29
3,11,4,4,9
0,0,0,1,0
10,20,9,7,16
24,23,13,21,30
24,29,20,45,21
29,26,28,54,22
29,27,30,50,25
30,26,30,49,23
26,28,30,51,22
29,26,28,46,26
29,24,27,45,26
26,24,26,43,24
29,24,25,37,21
27,24,26,36,18
25,26,27,43,25
11,11,17,15,11
29,30,27,48,24
25,28,26,52,26
24,22,22,27,17
9,6,6,17,9
16,14,13,26,10
28,17,25,44,22
23,24,26,38,25
4,8,11,7,11
